fecha,vacuna_fabricante,dosis,departamento,cantidad
2021-07-17,astrazeneca,1ra_dosis,cochabamba,31835.0
2021-07-17,astrazeneca,1ra_dosis,la paz,45127.0
2021-07-17,astrazeneca,1ra_dosis,oruro,8043.0
2021-07-17,astrazeneca,1ra_dosis,pando,19097.0
2021-07-17,astrazeneca,1ra_dosis,potosi,10159.0
2021-07-17,astrazeneca,1ra_dosis,santa cruz,38702.0
2021-07-17,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-17,astrazeneca,2da_dosis,beni,7758.0
2021-07-17,astrazeneca,2da_dosis,chuquisaca,4012.0
2021-07-17,astrazeneca,2da_dosis,cochabamba,19254.0
2021-07-17,astrazeneca,2da_dosis,la paz,15483.0
2021-07-17,astrazeneca,2da_dosis,oruro,6165.0
2021-07-17,astrazeneca,2da_dosis,pando,6356.0
2021-07-17,astrazeneca,2da_dosis,potosi,2381.0
2021-07-17,astrazeneca,2da_dosis,santa cruz,10178.0
2021-07-17,astrazeneca,2da_dosis,tarija,3241.0
2021-07-17,janssen,dosis_unica,beni,0.0
2021-07-17,janssen,dosis_unica,chuquisaca,0.0
2021-07-17,janssen,dosis_unica,cochabamba,0.0
2021-07-17,janssen,dosis_unica,la paz,569.0
2021-07-17,janssen,dosis_unica,oruro,0.0
2021-07-17,janssen,dosis_unica,pando,0.0
2021-07-17,janssen,dosis_unica,potosi,0.0
2021-07-17,janssen,dosis_unica,santa cruz,12884.0
2021-07-17,janssen,dosis_unica,tarija,0.0
2021-07-17,pfizer,1ra_dosis,beni,0.0
2021-07-17,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-17,pfizer,1ra_dosis,cochabamba,17593.0
2021-07-17,pfizer,1ra_dosis,la paz,29517.0
2021-07-17,pfizer,1ra_dosis,oruro,8771.0
2021-07-17,pfizer,1ra_dosis,pando,0.0
2021-07-17,pfizer,1ra_dosis,potosi,0.0
2021-07-17,pfizer,1ra_dosis,santa cruz,26518.0
2021-07-17,pfizer,1ra_dosis,tarija,5890.0
2021-07-17,pfizer,2da_dosis,beni,0.0
2021-07-17,pfizer,2da_dosis,chuquisaca,7828.0
