,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
57,,,,,,,,,9.75,6.25,4.0,7.75,5.5,5.0,3.0,10.0,13.5,5.25,8.5,14.5,25.5,27.25,31.0,59.0,67.25,81.75,77.5,97.25,85.5,80.75,72.5,66.75,77.5,81.75,78.75,56.25,41.75,52.0,49.25,41.5,42.75,60.25,62.0,81.5,73.0,67.0,53.5,33.5,32.5,27.5,29.5,25.5,22.0,20.5,23.75,37.25,52.75,53.75,46.0,,
58,,,,,,,,,11.25,4.75,3.25,7.75,3.0,4.75,3.0,7.0,11.25,5.0,8.0,15.25,26.25,25.0,36.25,50.25,63.5,75.5,71.5,100.0,82.75,82.25,74.25,65.25,77.0,78.75,77.0,61.25,42.75,49.0,34.0,38.0,38.5,48.5,56.5,60.75,76.75,54.75,41.25,32.75,28.0,27.5,20.5,26.75,28.25,22.0,25.25,31.5,51.25,57.75,43.0,51.75,
59,,,,,,,,,,2.0,6.0,4.75,3.0,5.75,2.75,6.0,11.75,9.75,5.75,18.5,23.0,26.75,31.75,50.25,45.5,55.0,89.0,92.0,64.5,84.25,72.0,64.0,86.0,72.0,52.5,57.0,46.75,49.0,45.5,41.0,35.75,55.25,52.25,68.0,74.25,41.25,35.75,24.0,23.75,20.75,21.25,22.25,28.5,12.75,20.75,22.5,38.25,53.25,60.5,47.75,
60,,,,,,,,,,6.25,4.0,8.0,5.75,3.25,4.75,6.5,13.5,5.5,8.5,15.5,26.5,20.5,33.5,58.25,66.0,71.5,76.25,100.0,79.5,79.25,65.0,77.75,77.0,80.5,76.25,53.0,43.25,48.5,37.25,34.0,44.5,62.25,62.25,76.75,80.0,56.0,49.75,33.25,30.75,28.0,26.25,26.0,25.25,20.5,32.25,31.5,53.75,51.0,45.75,56.75,
61,,,,,,,,,,6.5,3.75,7.0,4.25,3.5,2.5,9.0,12.5,2.75,9.5,15.75,24.5,28.25,31.5,55.0,59.0,78.5,72.0,95.25,73.0,72.25,77.0,72.25,80.75,87.25,80.5,52.25,43.0,53.0,32.0,38.0,48.0,54.0,61.0,72.25,70.5,55.75,49.75,37.5,34.5,30.75,21.25,28.25,23.75,25.5,23.0,32.75,51.75,51.25,51.5,52.75,
62,,,,,,,,,,1.75,7.75,9.25,3.75,5.5,9.75,5.75,15.5,7.5,8.0,15.5,26.0,38.25,41.0,47.25,65.0,67.5,84.0,99.75,79.75,69.25,69.0,64.0,91.5,78.0,67.25,55.5,52.25,49.75,40.75,43.5,50.75,41.75,66.0,72.25,66.25,60.0,32.5,31.75,24.25,20.5,37.75,35.0,19.0,34.25,23.25,39.25,40.5,51.75,59.5,47.75,
63,,,,,,,,,,0.5,5.5,8.25,2.25,7.5,10.25,6.25,14.25,7.25,12.5,21.0,20.0,30.75,32.5,48.75,66.25,78.75,77.25,93.75,85.25,65.5,72.25,61.0,95.25,75.25,61.5,49.5,50.5,54.75,38.75,50.25,46.25,43.0,59.0,66.0,84.75,58.0,32.75,30.75,20.25,28.5,27.75,30.25,24.75,35.5,24.75,34.0,42.25,53.5,50.5,52.5,
64,,,,,,,,,,3.0,4.25,3.25,1.75,6.0,3.75,6.5,11.0,5.75,8.25,16.5,20.25,26.75,30.5,43.25,49.0,57.75,89.25,98.25,59.5,77.75,74.25,77.75,85.5,73.5,58.0,49.25,49.25,52.0,43.75,47.75,43.25,62.0,68.25,70.0,75.75,53.5,41.75,26.5,27.75,16.0,24.75,20.0,32.0,17.25,23.75,24.5,42.5,53.25,56.5,48.5,49.25
65,,,,,,,,,,4.5,2.75,8.75,5.75,3.0,5.0,8.75,12.5,5.0,6.75,16.75,23.75,29.0,35.0,50.75,59.0,70.75,69.5,100.0,81.75,82.25,76.75,72.5,70.0,82.5,74.5,59.75,39.0,40.75,44.0,37.5,46.75,47.0,57.5,65.25,71.5,55.5,42.5,28.25,40.25,30.5,21.75,28.5,21.75,18.75,23.5,30.0,50.0,51.25,53.0,60.75,43.25
66,,,,,,,,,,5.75,3.75,9.0,5.5,3.0,3.25,10.75,11.0,5.0,10.75,16.5,26.5,23.0,35.75,54.25,65.5,69.75,78.75,99.5,79.25,80.0,69.5,72.75,76.5,90.0,76.75,52.75,53.0,53.75,45.75,37.75,43.75,62.0,59.5,79.0,76.5,63.0,50.25,29.75,37.75,30.5,20.5,33.0,25.75,20.75,26.5,38.5,54.5,62.0,54.0,55.5,51.5
