Recipient,Recipient ISO,Vaccine Name,Manufacturer,Source URL,Vaccine Developer,Donor,Donor ISO,Update Date,Doses
Senegal,SEN,Covishield,Serum Institute of India,https://twitter.com/IndiainSenegal/status/1367605758737661958?s=20,Serum Institute of India,India,IND,2021-03-12,25000.0
Ghana,GHA,Covishield,Serum Institute of India,https://twitter.com/HCI_Accra/status/1367760976297222150?s=20,Serum Institute of India,India,IND,2021-03-12,50000.0
Mongolia,MNG,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-12,150000.0
Rwanda,RWA,Covishield,Serum Institute of India,https://twitter.com/IndiaKigali/status/1367724903869411328?s=20,Serum Institute of India,India,IND,2021-03-12,50000.0
Bahamas,BHS,Covishield,Serum Institute of India,https://twitter.com/hcikingston/status/1370001289640312834?s=20,Serum Institute of India,India,IND,2021-03-12,20000.0
Eswatini,SWZ,Covishield,Serum Institute of India,https://twitter.com/EswatiniGovern1/status/1370046541776490497?s=20,Serum Institute of India,India,IND,2021-03-12,20000.0
Mozambique,MOZ,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-12,100000.0
Cote d'Ivoire,CIV,Covishield,Serum Institute of India,https://twitter.com/EOIIvoryCoast/status/1367817941534773255?s=20,Serum Institute of India,India,IND,2021-03-12,50000.0
Belize,BLZ,Covaxin,Bharat Biotech,https://twitter.com/VohraManpreet/status/1369125562673885189?s=20,Bharat Biotech,India,IND,2021-03-12,25000.0
Dominican Rep.,DOM,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-12,30000.0
Botswana,BWA,Covaxin,Bharat Biotech,https://twitter.com/HCIGaborone/status/1369369507488292874?s=20,Bharat Biotech,India,IND,2021-03-12,30000.0
Ecuador,ECU,Coronavac,Sinovac,https://www.salud.gob.ec/el-gobierno-de-chile-dona-20-000-dosis-de-vacuna-del-laboratorio-sinovac-al-ecuador-para-el-plan-vacunarse/,Sinovac,Chile,CHL,2021-03-13,20000.0
Paraguay,PRY,Coronavac,Sinovac,https://www.reuters.com/article/health-coronavirus-ecuador-chile-idUSL1N2L5006,Sinovac,Chile,CHL,2021-03-13,20000.0
Slovakia,SVK,Vaxzevria,AstraZeneca,https://www.barrons.com/news/france-donates-15-000-vaccine-doses-to-slovakia-01615150504,AstraZeneca,France,FRA,2021-03-18,15000.0
Montenegro,MNE,Sputnik V,Gamaleya Research Institute,http://www.kiev.mfa.gov.rs/newstext.php?subaction=showfull&id=1615884683&ucat=19&template=Frontpage3&,Gamaleya Research Institute,Serbia,SRB,2021-03-18,2000.0
Mozambique,MOZ,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/health-coronavirus-mozambique/mozambique-expects-to-vaccinate-16-million-against-coronavirus-by-2022-idUSL5N2L35GH,Sinopharm (Beijing),China,CHN,2021-03-19,200000.0
Malawi,MWI,Covishield,Serum Institute of India,https://twitter.com/India_in_Malawi/status/1370405295806156803?s=20,Serum Institute of India,India,IND,2021-03-19,50000.0
Niger,NER,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/us-health-coronavirus-niger-idUSKBN2BD0UE,Sinopharm (Beijing),China,CHN,2021-03-23,400000.0
Benin,BEN,Coronavac,Sinovac,https://www.gouv.bj/actualite/1226/lutte-contre-pandemie-coronavirus--covid-19-benin-recu-203.000-doses-vaccins-chine/,Sinovac,China,CHN,2021-03-23,100000.0
--,--,--,--,https://www.reuters.com/article/us-health-coronavirus-ghana-vaccine/ghana-takes-delivery-of-first-covid-19-vaccines-donated-by-mtn-group-idINKBN2BF2S8?edition-redirect=in,--,MTN Group,IND,2021-03-23,165000.0
Liberia,LBR,Covishield,Serum Institute of India,https://frontpageafricaonline.com/news/liberia-mtn-group-donates-27000-covid-19-vaccines-to-government/,Serum Institute of India,MTN Group,FRA,2021-03-23,27000.0
Nigeria,NGA,--,--,https://nannews.ng/covid-19-mtn-donates-300000-doses-of-vaccines-to-nigeria/,--,MTN Group,IND,2021-03-23,1400000.0
Namibia,NAM,Coronavac,Sinovac,https://africa.cgtn.com/2021/03/18/namibia-receives-first-batch-of-covid-19-vaccines-from-china/,Sinovac,China,CHN,2021-03-24,100000.0
Tunisia,TUN,Coronavac,Sinovac,http://www.xinhuanet.com/english/2021-03/28/c_139840930.htm,Sinovac,China,CHN,2021-03-26,100000.0
Mauritania,MRT,BBIBP-CorV,Sinopharm (Beijing),https://www.aa.com.tr/en/africa/mauritania-begins-covid-19-vaccination-campaign/2189322,Sinopharm (Beijing),China,CHN,2021-03-26,50000.0
--,--,--,--,https://www.reuters.com/article/health-coronavirus-africa-idAFL1N2MF12F,--,MTN Group,IND,2021-03-26,102000.0
Mauritania,MRT,Comirnaty,Pfizer/BioNTech,https://www.aa.com.tr/en/africa/mauritania-begins-covid-19-vaccination-campaign/2189322,Pfizer BioNTech,UAE,ARE,2021-03-26,5000.0
--,--,--,--,https://www.reuters.com/article/us-healthcare-coronavirus-africa/nine-african-countries-take-delivery-of-covid-19-vaccines-donated-by-mtn-group-idUSKBN2BH1H7,--,MTN Group,IND,2021-03-26,100000.0
Guinea-Bissau,GNB,Covishield,Serum Institute of India,https://www.theeastafrican.co.ke/tea/news/rest-of-africa/guinea-bissau-covid-19-vaccine-3333656,Serum Institute of India,MTN Group,CHN,2021-03-26,12000.0
Bhutan,BTN,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-26,400000.0
Namibia,NAM,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-03-26,30000.0
Cambodia,KHM,BBIBP-CorV,Sinopharm (Beijing),https://www.khmertimeskh.com/50830205/funcinpec-to-receive-3000-doses-of-covid-19-vaccine-from-china/,Sinopharm (Beijing),China,CHN,2021-03-26,3000.0
West Bank and Gaza,PSE,BBIBP-CorV,Sinopharm (Beijing),https://www.france24.com/en/live-news/20210329-palestinians-get-100-000-chinese-covid-vaccine-doses,Sinopharm (Beijing),China,CHN,2021-03-29,100000.0
Albania,ALB,Sputnik V,Gamaleya Research Institute,http://www.xinhuanet.com/english/2021-03/23/c_139828104.htm,Gamaleya Research Institute,UAE,ARE,2021-03-29,10000.0
Sudan,SDN,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/health-coronavirus-sudan-china/sudan-to-receive-first-batch-of-sinopharm-vaccines-suna-reports-idUSL1N2LM243,Sinopharm (Beijing),China,CHN,2021-04-01,250000.0
Moldova,MDA,Sputnik V,Gamaleya Research Institute,https://tass.com/world/1273247,Gamaleya Research Institute,Russia,RUS,2021-04-01,180000.0
Ethiopia,ETH,BBIBP-CorV,Sinopharm (Beijing),https://www.aviationpros.com/ground-handling/press-release/21216763/ethiopian-airlines-ethiopian-transports-more-than-1-million-covid-19-vaccine-doses-from-beijing-to-harare,Sinopharm (Beijing),China,CHN,2021-04-01,300000.0
Mongolia,MNG,BBIBP-CorV,Sinopharm (Beijing),http://www.xinhuanet.com/english/2021-02/23/c_139759597.htm,Sinopharm (Beijing),China,CHN,2021-04-01,300000.0
Azerbaijan,AZE,Coronavac,Sinovac,https://en.trend.az/azerbaijan/society/3402510.html,Sinovac,China,CHN,2021-04-01,150000.0
Angola,AGO,BBIBP-CorV,Sinopharm (Beijing),https://macauhub.com.mo/2021/03/30/20210330005/,Sinopharm (Beijing),China,CHN,2021-04-01,200000.0
